Names,Prices,RAM|ROM,Camera,Display,Processor,Battery,Ratings
"SAMSUNG Galaxy M11 (Metallic Blue, 32 GB)","9,249",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,13MP + 5MP + 2MP | 8MP Front Camera,16.26 cm (6.4 inch) HD+ Display,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,5000 mAh Lithium-ion Battery,4.2
"MOTOROLA G10 Power (Aurora Grey, 64 GB)","9,999",4 GB RAM | 64 GB ROM,48MP + 8MP + 2MP + 2MP | 8MP Front Camera,16.54 cm (6.51 inch) HD+ Display,Snapdragon 460 Processor,6000 mAh Battery,4.1
Cellecor E3,"1,176",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,0.8MP Rear Camera,4.57 cm (1.8 inch) Display,1 Year Manufacturer Warranty,1000 mAh Battery,3.9
"SAMSUNG Galaxy M11 (Black, 32 GB)","8,899",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,13MP + 5MP + 2MP | 8MP Front Camera,16.26 cm (6.4 inch) HD+ Display,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,5000 mAh Lithium-ion Battery,4.2
"SAMSUNG Galaxy F02s (Diamond Blue, 32 GB)","8,990",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,13MP + 2MP + 2MP | 5MP Front Camera,16.55 cm (6.515 inch) HD+ Display,Qualcomm Snapdragon 450 (SDM450-F01) Processor,5000 mAh Lithium-ion Battery,4.2
"OPPO A16k (White, 32 GB)","9,499",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,13MP Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Mediatek Helio G35 (MT6765) Processor,4230 mAh Battery,4.2
"LAVA Blaze Nxt (Glass Green, 64 GB)","8,550",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP Rear Camera | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,MediaTek G37 Processor,5000 mAh Battery,4.3
"Infinix S4 (Nebula Blue, 32 GB)","9,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP Depth Sensor + 8MP Wide Angle sensor | 32MP Front Camera,15.77 cm (6.21 inch) HD+ Display,2.0 GHz Helio P22 64-bit Octa Core Processor,4000 mAh Battery,4.2
"Nokia C21 Plus (Dark Cyan, 32 GB)","9,499",3 GB RAM | 32 GB ROM,13MP + 2MP | 5MP Front Camera,16.69 cm (6.57 inch) HD+ Display,Octa Core Processor,5050 mAh Lithium Polymer Battery,3.8
"LAVA Blaze Nxt (Glass Blue, 64 GB)","8,699",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP Rear Camera | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,MediaTek G37 Processor,5000 mAh Battery,4.3
"Nokia C3 (Nordic Blue, 32 GB)","9,999",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,8MP Rear Camera | 5MP Front Camera,15.21 cm (5.99 inch) HD+ Display,SC9863A Octa Core Processor,3040 mAh Lithium-ion Battery,3.8
"MOTOROLA g13 (Matte Charcoal, 128 GB)","9,999",4 GB RAM | 128 GB ROM,50MP + 2MP + 2MP | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Helio G85 Processor,5000 mAh Battery,4.3
"REDMI 9i (Nature Green, 128 GB)","9,299",4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,13MP Rear Camera | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,MediaTek Helio G25 Processor,5000 mAh Lithium Polymer Battery,4
"SAMSUNG Galaxy A03s (Black, 32 GB)","8,899",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,13MP + 2MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Mediatek Helio P35 (MT6765) Processor,5000 mAh Lithium-ion Battery,4.1
"Micromax IN Note 1 (Green, 64 GB)","9,990",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,48MP + 5MP + 2MP + 2MP | 16MP Front Camera,16.94 cm (6.67 inch) Full HD+ Display,MediaTek Helio G85 (MT6769V/CZ) Processor,5000 mAh Li-Polymer Battery,4.3
"LAVA Blaze Pro (Glass Green, 64 GB)","9,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,50MP Rear Camera | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Mediatek G37 Octa Core Processor Processor,5000 mAh Lithium Polymer Battery,4.1
"GIONEE F9 Plus (Black, 32 GB)","9,490",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 13MP Front Camera,15.9 cm (6.26 inch) HD+ Display,Spreadtrum Processor,4050 mAh Battery,3.8
"Nokia C21 Plus (Warm Grey, 32 GB)","9,499",3 GB RAM | 32 GB ROM,13MP + 2MP | 5MP Front Camera,16.69 cm (6.57 inch) HD+ Display,Octa Core Processor,5050 mAh Lithium Polymer Battery,4.2
"Infinix Hot 7 (Aqua Blue, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP + 2MP | 13MP + 2MP Dual Front Camera,15.72 cm (6.19 inch) HD+ Display,Helio P25 (MTK6757CD) Processor,4000 mAh Li-ion Polymer Battery,4.4
"realme C12 (Power Blue, 32 GB)","9,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP + 2MP | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Mediatek Helio G35 Processor,6000 mAh Lithium-ion Battery,4.3
"Tecno Spark Power 2 (Ice Jadeite, 64 GB)","9,949",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16 MP + 5 MP + 2 MP + AI Lens | 16MP Front Camera,17.78 cm (7 inch) HD+ Display,MediaTek Helio P22 Octa Core Processor,6000 mAh Li-ion Polymer Battery,4.4
"Redmi 6 (Blue, 64 GB)","9,999",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,12MP + 5MP | 5MP Front Camera,13.84 cm (5.45 inch) HD+ Display,2.0 GHz Mediatek P22 Octacore Processor,3000 mAh Lithium-polymer Battery,4
